pktArtWert#pktArtText#oid#pktKnng#east#north#markeWert#markeText#relHoehe#gebArtWert#gebArtText#gStWert#gStText
11003#Grenzpunkt#DEBYvAAAC0DbwgDC##565849.950#5493962.790#1400#Meißelzeichen (z. B. Kreuz, Kerbe, Anker)####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDB##566007.110#5494035.750#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCJ##565977.090#5493917.200#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgBf##565964.870#5493901.650#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAAAAAAaT2#20715223-7418#565686.790#5494169.050#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCE##565976.720#5493921.450#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgD0##565965.310#5493977.450#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgBm##565963.680#5493899.660#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAB##565956.820#5493879.260#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAAAAAAaOq#20715223-7420#565745.830#5494167.820#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAaPZ#20715224-7361#566048.930#5494279.950#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAW##566011.640#5493980.060#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgB7##565994.860#5493952.830#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgB6##565956.310#5493889.540#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAS##565996.580#5493951.800#1110#Stein, Grenzstein####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAa##565960.820#5493893.320#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAJ##565984.790#5493932.060#1500#Pfahl####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAAAAAAaPt#20715223-7424#565858.450#5494190.430#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAI##565957.110#5493884.030#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAR##565958.300#5493888.260#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgB1##565959.130#5493894.230#9500#Ohne Marke####3300#S<=500cm
